y,x,frame,t,vial,climbing,1
97.59,200.02,47,1.88,1,climbing,
41.77,170.7,47,1.88,1,climbing,
31.95,231.25,47,1.88,1,climbing,
23.8,195.96,47,1.88,1,climbing,
237.9,217.97,48,1.92,1,climbing,
98.52,196.48,48,1.92,1,climbing,
49.81,172.98,48,1.92,1,climbing,
41.81,170.7,48,1.92,1,climbing,
31.89,231.13,48,1.92,1,climbing,
24.04,193.14,48,1.92,1,climbing,
240.91,217.96,49,1.96,1,climbing,
98.67,195.96,49,1.96,1,climbing,
42.38,170.62,49,1.96,1,climbing,
31.93,231.01,49,1.96,1,climbing,
23.6,192.9,49,1.96,1,climbing,
246.76,218.92,50,2.0,1,climbing,
97.86,198.8,50,2.0,1,climbing,
42.09,170.1,50,2.0,1,climbing,
31.99,230.16,50,2.0,1,climbing,
23.01,187.13,50,2.0,1,climbing,
247.79,220.06,51,2.04,1,climbing,
98.92,195.79,51,2.04,1,climbing,
42.62,169.98,51,2.04,1,climbing,
31.97,230.05,51,2.04,1,climbing,
22.9,183.32,51,2.04,1,climbing,
252.6,219.99,52,2.08,1,climbing,
102.75,188.22,52,2.08,1,climbing,
42.71,169.85,52,2.08,1,climbing,
32.03,230.0,52,2.08,1,climbing,
23.88,183.08,52,2.08,1,climbing,
255.71,220.93,53,2.12,1,climbing,
103.9,186.13,53,2.12,1,climbing,
42.81,169.72,53,2.12,1,climbing,
32.1,229.2,53,2.12,1,climbing,
22.55,177.99,53,2.12,1,climbing,
257.73,221.94,54,2.16,1,climbing,
104.72,185.01,54,2.16,1,climbing,
43.01,169.64,54,2.16,1,climbing,
32.06,229.97,54,2.16,1,climbing,
23.5,177.03,54,2.16,1,climbing,
261.55,220.79,55,2.2,1,climbing,
104.81,185.01,55,2.2,1,climbing,
43.08,169.14,55,2.2,1,climbing,
32.08,229.15,55,2.2,1,climbing,
24.74,178.11,55,2.2,1,climbing,
262.77,220.32,56,2.24,1,climbing,
106.87,179.1,56,2.24,1,climbing,
43.11,169.18,56,2.24,1,climbing,
32.07,229.11,56,2.24,1,climbing,
24.82,178.88,56,2.24,1,climbing,
264.74,219.78,57,2.28,1,climbing,
106.72,180.07,57,2.28,1,climbing,
43.67,169.0,57,2.28,1,climbing,
32.07,229.04,57,2.28,1,climbing,
25.45,176.04,57,2.28,1,climbing,
268.61,218.31,58,2.32,1,climbing,
106.75,178.79,58,2.32,1,climbing,
44.1,168.93,58,2.32,1,climbing,
32.09,228.2,58,2.32,1,climbing,
25.93,178.09,58,2.32,1,climbing,
271.54,217.15,59,2.36,1,climbing,
108.76,174.0,59,2.36,1,climbing,
44.78,168.1,59,2.36,1,climbing,
32.11,228.14,59,2.36,1,climbing,
25.76,176.95,59,2.36,1,climbing,
274.33,216.36,60,2.4,1,climbing,
108.84,173.92,60,2.4,1,climbing,
45.43,167.36,60,2.4,1,climbing,
32.14,228.13,60,2.4,1,climbing,
25.94,176.1,60,2.4,1,climbing,
