y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,particle,track_completeness,vial
481.1357142857143,250.62603174603174,407,140660,0.369,33.29,407,0.1,1,0.04,True,29,1.0,1.0
480.7757142857143,378.8460317460317,477,140660,0.338,39.55,477,0.1,1,0.04,True,30,0.7172413793103448,2.0
480.4657142857143,1121.3160317460317,537,140660,0.538,40.55,537,0.0,1,0.04,True,32,0.8758620689655172,6.0
480.35571428571427,892.0760317460317,386,140660,0.485,30.79,386,0.1,1,0.04,True,33,0.9793103448275862,5.0
488.35571428571427,234.22603174603174,465,140660,0.513,37.55,465,0.0,1,0.04,True,34,0.22758620689655173,1.0
476.98571428571427,569.6360317460318,641,140660,0.16,47.06,641,0.0,1,0.04,True,35,0.9172413793103448,3.0
491.81571428571425,968.1860317460317,476,140660,0.372,34.05,476,0.0,1,0.04,True,36,0.9793103448275862,5.0
483.50571428571425,1144.8260317460317,425,140660,0.156,36.8,425,0.0,1,0.04,True,37,0.11724137931034483,6.0
482.3357142857143,350.25603174603174,320,140660,0.223,18.52,320,0.1,1,0.04,False,38,0.9724137931034482,0.0
483.30571428571426,527.3660317460317,451,140660,0.165,29.29,451,0.1,1,0.04,True,39,0.2896551724137931,3.0
486.2857142857143,369.0860317460317,592,140660,0.35,49.57,592,0.1,1,0.04,True,42,0.20689655172413793,2.0
485.2057142857143,1110.3160317460317,242,140660,0.452,17.77,242,0.0,1,0.04,False,43,0.020689655172413793,0.0
488.31571428571425,769.1160317460317,402,140660,0.546,38.3,402,0.1,1,0.04,True,44,0.2896551724137931,4.0
484.80571428571426,740.6960317460317,392,140660,0.345,32.79,392,0.0,1,0.04,True,45,0.9862068965517241,4.0
486.75571428571425,921.3660317460317,523,140660,0.482,40.05,523,0.0,1,0.04,True,46,1.0,5.0
488.10571428571427,1087.2160317460318,254,140660,0.53,22.28,254,0.0,1,0.04,False,48,0.903448275862069,0.0
486.3357142857143,1155.3160317460317,493,140660,0.44,35.55,493,0.0,1,0.04,True,49,0.9172413793103448,6.0
483.36571428571426,704.6860317460317,354,140660,0.098,27.79,354,0.1,1,0.04,True,50,0.9448275862068966,4.0
485.87571428571425,614.0760317460317,366,140660,0.297,30.79,366,0.1,1,0.04,True,51,0.6827586206896552,3.0
481.79571428571427,882.5060317460318,388,140660,0.187,28.79,388,0.1,1,0.04,True,52,0.9448275862068966,5.0
482.7157142857143,719.4360317460317,411,140660,0.087,21.28,411,0.1,1,0.04,False,53,0.9586206896551724,0.0
489.56571428571425,893.3960317460318,300,140660,0.445,20.53,300,0.0,1,0.04,False,54,0.8689655172413793,0.0
489.7157142857143,788.3460317460317,441,140660,0.326,34.3,441,0.0,1,0.04,True,55,0.9793103448275862,4.0
490.42571428571426,942.6060317460317,399,140660,0.466,28.79,399,0.0,1,0.04,True,56,0.04827586206896552,5.0
490.55571428571426,1132.5960317460317,293,140660,0.496,27.04,293,0.1,1,0.04,True,57,0.47586206896551725,6.0
492.4557142857143,549.0260317460318,400,140660,0.302,26.04,400,0.0,1,0.04,True,58,0.15172413793103448,3.0
491.3857142857143,603.1460317460318,486,140660,0.363,38.55,486,0.0,1,0.04,True,59,0.9586206896551724,3.0
489.85571428571427,211.37603174603174,638,140660,0.389,42.81,638,0.0,1,0.04,True,61,0.993103448275862,1.0
491.1557142857143,909.0460317460318,430,140660,0.386,34.3,430,0.0,1,0.04,True,62,0.9241379310344827,5.0
486.6557142857143,729.2260317460317,620,140660,0.451,46.31,620,0.0,1,0.04,True,63,0.22758620689655173,4.0
494.31571428571425,753.8460317460317,104,140660,0.415,10.76,104,0.1,1,0.04,False,64,0.8482758620689655,0.0
494.29571428571427,1109.4860317460318,304,140660,0.215,23.03,304,0.1,1,0.04,False,65,0.04827586206896552,0.0
495.2057142857143,371.2060317460317,296,140660,0.389,22.03,296,0.1,1,0.04,False,66,0.06206896551724138,0.0
506.1357142857143,1065.4560317460318,290,140660,0.433,25.28,290,0.1,1,0.04,True,67,0.06896551724137931,6.0
490.4157142857143,396.28603174603177,256,140660,0.544,22.53,256,0.1,1,0.04,False,68,0.09655172413793103,0.0
491.1457142857143,586.1460317460318,471,140660,0.379,32.79,471,0.0,1,0.04,True,69,0.0896551724137931,3.0
511.06571428571425,253.20603174603173,154,140660,0.465,13.77,154,0.2,1,0.04,False,71,0.06206896551724138,0.0
483.99571428571426,795.2160317460317,306,140660,0.312,23.78,306,0.1,1,0.04,False,73,0.9655172413793104,0.0
513.3657142857143,1082.1860317460316,119,140660,0.265,11.01,119,0.2,1,0.04,False,74,0.3724137931034483,0.0
491.36571428571426,956.1860317460317,253,140660,0.325,23.28,253,0.1,1,0.04,False,75,0.3724137931034483,0.0
491.1457142857143,381.0860317460317,191,140660,0.223,21.78,191,0.2,1,0.04,False,76,0.4413793103448276,0.0
493.6457142857143,1150.6060317460317,130,140660,0.372,11.01,130,0.1,1,0.04,False,77,0.9103448275862069,0.0
413.20883928571425,235.44603174603176,609,140660,0.244,47.67,609,0.0,2,0.08,True,0,1.0,1.0
424.8688392857143,560.1960317460317,772,140660,0.363,57.05,772,0.0,2,0.08,True,2,0.993103448275862,3.0
424.9288392857143,1157.2160317460318,681,140660,0.271,47.17,681,0.0,2,0.08,True,3,0.47586206896551725,6.0
429.1088392857143,1079.6360317460317,498,140660,0.235,37.28,498,0.0,2,0.08,True,4,1.0,6.0
449.81883928571426,1075.3760317460317,617,140660,0.323,47.17,617,0.0,2,0.08,True,5,0.8827586206896552,6.0
454.70883928571425,1066.8760317460317,607,140660,0.243,44.38,607,0.0,2,0.08,True,6,1.0,6.0
470.68883928571427,546.0860317460317,627,140660,0.303,38.04,627,0.0,2,0.08,True,7,0.5241379310344828,3.0
464.8388392857143,755.1960317460317,669,140660,0.41,49.95,669,0.0,2,0.08,True,8,0.7034482758620689,4.0
469.63883928571425,173.08603174603175,384,140660,0.244,42.09,384,0.1,2,0.08,True,9,0.4827586206896552,1.0
472.82883928571425,1099.6260317460317,537,140660,0.465,48.18,537,0.0,2,0.08,True,11,0.9793103448275862,6.0
474.88883928571425,400.94603174603174,643,140660,0.191,43.11,643,0.0,2,0.08,True,12,1.0,2.0
474.56883928571426,1127.8360317460317,770,140660,0.302,57.31,770,0.0,2,0.08,True,13,0.8482758620689655,6.0
474.88883928571425,581.1660317460318,519,140660,0.388,42.6,519,0.0,2,0.08,True,14,0.9793103448275862,3.0
476.7788392857143,390.9260317460317,411,140660,0.279,48.43,411,0.0,2,0.08,True,15,0.993103448275862,2.0
482.3688392857143,1136.0060317460318,461,140660,0.332,33.73,461,0.0,2,0.08,True,16,0.993103448275862,6.0
472.5988392857143,608.4360317460317,576,140660,0.045,42.09,576,0.0,2,0.08,True,17,0.2206896551724138,3.0
477.0988392857143,1107.1560317460317,415,140660,0.486,33.47,415,0.0,2,0.08,True,18,0.11724137931034483,6.0
480.4888392857143,597.0160317460317,307,140660,0.23,27.89,307,0.0,2,0.08,True,19,0.9862068965517241,3.0
475.80883928571427,1148.3260317460317,694,140660,0.365,44.12,694,0.0,2,0.08,True,20,1.0,6.0
477.93883928571427,745.3060317460317,774,140660,0.324,55.03,774,0.0,2,0.08,True,21,0.9310344827586207,4.0
477.7888392857143,753.5860317460317,605,140660,0.273,64.66,605,0.0,2,0.08,True,22,0.993103448275862,4.0
478.2788392857143,1067.1460317460317,646,140660,0.446,45.64,646,0.0,2,0.08,True,23,0.9103448275862069,6.0
477.06883928571426,1076.0860317460317,591,140660,0.537,48.43,591,0.0,2,0.08,True,24,0.027586206896551724,6.0
483.05883928571427,956.9760317460317,311,140660,0.366,27.13,311,0.0,2,0.08,True,25,0.0896551724137931,5.0
477.69883928571426,418.7060317460317,573,140660,0.052,33.98,573,0.0,2,0.08,True,26,0.9793103448275862,2.0
478.9088392857143,765.0060317460317,789,140660,0.473,60.1,789,0.0,2,0.08,True,27,0.2620689655172414,4.0
479.3388392857143,547.2960317460318,401,140660,0.423,37.02,401,0.0,2,0.08,True,28,0.5103448275862069,3.0
482.74883928571427,251.63603174603176,285,140660,0.233,23.84,285,0.0,2,0.08,False,29,1.0,0.0
481.18883928571427,378.6160317460317,469,140660,0.323,39.05,469,0.0,2,0.08,True,30,0.7172413793103448,2.0
480.95883928571425,1121.2160317460318,474,140660,0.543,39.05,474,0.0,2,0.08,True,32,0.8758620689655172,6.0
